Time,Baseline,IndexFund,MovingAverage,MovingAverageWithSentiment,SelectionBySentiment,SelectionBySentiment(AllStocks),SelectionBySentiment(OneStock)
"2014-07-22T08:00:00Z",1523569.025700,1177219.073205,1232724.508128,1340986.363531,4238523.501895,4367806.472385,2276549.429724
"2014-07-23T08:00:00Z",1521541.182125,1182972.676795,1221751.524898,1320998.329624,4166981.537389,4381828.677713,2254203.258009
"2014-07-24T08:00:00Z",1543924.419765,1184608.926795,1231409.944563,1316076.107424,4347464.048954,4423972.327628,2580715.748009
"2014-07-25T08:00:00Z",1523156.260816,1182544.294645,1214971.670540,1290330.325544,4238769.268690,4313364.697536,2457812.708009
"2014-07-28T08:00:00Z",1539240.692458,1178766.058925,1227052.102505,1311177.846257,4372367.181185,4449314.399371,2689083.758009
"2014-07-29T08:00:00Z",1562407.416998,1179825.176180,1245833.566288,1328766.852136,4367347.663292,4444195.771868,2614592.898009
"2014-07-30T08:00:00Z",1599893.535442,1175767.235720,1265866.254747,1349827.448308,4778471.233356,4668827.864562,2677034.639949
"2014-07-31T08:00:00Z",1563888.785950,1170965.617850,1241253.414292,1326662.650618,4538168.922113,4541572.178347,2334463.919949
"2014-08-01T08:00:00Z",1538221.555743,1149938.338080,1214880.543402,1298656.538931,4463303.188711,4409650.416296,2284249.919949
"2014-08-04T08:00:00Z",1543955.694262,1148046.205950,1218207.917713,1303937.855570,4505062.431210,4453318.261842,2319620.844019
"2014-08-05T08:00:00Z",1548837.354000,1153829.588695,1221291.465797,1309199.272324,4570062.774418,4517570.355704,2350187.444435
"2014-08-06T08:00:00Z",1544306.286723,1142494.882130,1220866.712444,1306922.368509,4551128.840080,4498853.632327,2331080.444435
"2014-08-07T08:00:00Z",1563466.008213,1145910.176180,1234841.321637,1321654.907349,4711800.407728,4657673.478395,2383306.320863
"2014-08-08T08:00:00Z",1559089.691295,1138365.544645,1233252.767246,1313236.660355,4698199.069753,4644766.910336,2339730.182531
"2014-08-11T08:00:00Z",1567577.269665,1152098.191055,1246026.657020,1318367.600980,4794627.389089,4732686.660021,2364788.278421
"2014-08-12T08:00:00Z",1562140.959814,1153466.647025,1245323.095269,1313964.461672,4727504.483711,4698068.250261,2352865.511848
"2014-08-13T08:00:00Z",1554008.978093,1153389.294645,1223545.825480,1299419.954799,4743525.582036,4724904.144157,2373158.387991
"2014-08-14T08:00:00Z",1559432.678359,1160416.279155,1246037.114014,1320829.889412,4760914.001356,4757954.099363,2402269.967991
"2014-08-15T08:00:00Z",1566492.851216,1167234.955950,1245850.036274,1321737.872440,4806743.651356,4803754.919363,2425394.507991
"2014-08-18T08:00:00Z",1501478.857215,1166931.500000,1246419.138059,1322859.245293,4775442.445892,4772472.573943,2439999.068895
"2014-08-19T08:00:00Z",1503015.565614,1175481.647025,1248114.967799,1324409.192214,4823400.938146,4820394.626185,2464037.090309
"2014-08-20T08:00:00Z",1505038.820132,1180080.985720,1246047.790021,1320525.073632,4865275.306768,4886652.909202,2469307.109120
"2014-08-21T08:00:00Z",1506000.751092,1183865.176795,1257089.342850,1334829.238027,4870977.198643,4892379.710646,2467648.160309
"2014-08-22T08:00:00Z",1505248.786921,1187304.294645,1246649.474430,1320656.901172,4877549.306304,4898980.897989,2516988.727013
"2014-08-25T08:00:00Z",1512270.086468,1186792.602975,1252626.348635,1326222.684247,4904318.081992,4943965.212814,2528060.497013
"2014-08-26T08:00:00Z",1522058.307916,1190868.338695,1258345.096181,1334139.752188,4907667.715336,4991094.131000,2505904.957013
"2014-08-27T08:00:00Z",1515947.455206,1192028.632130,1247114.024047,1330460.021970,4818924.815593,4918116.325821,2514914.096777
"2014-08-28T08:00:00Z",1511175.774224,1190172.235105,1238322.651976,1322559.444608,4798705.607719,4897481.319432,2504362.654418
"2014-08-29T08:00:00Z",1517831.401649,1190785.029770,1245462.556990,1332340.312382,4860208.954141,4949824.674060,2525415.201228
"2014-09-02T08:00:00Z",1519631.449041,1194128.926795,1250861.514540,1325613.657989,4850263.812281,4939696.620690,2549535.357239
"2014-09-03T08:00:00Z",1531908.339345,1193831.426795,1258886.460617,1342071.294439,4983928.518457,5075816.938820,2592654.674377
